kodetoko,namatoko
KE83,BTN. LINTAS KJG KM18 [BLKK]
KE84,BTN. SIMPANG TRIKORA [BSTA]
KE85,BTN. KAWAL PANTAI [BAPI]
KE86,JL BENDUNGAN JTLUHUR [JLBJ]
KE87,BTN. SIMPANG KIJANG [BSKJ]
KE88,RUSUNAMI KMY [RUKY]
KE89,KSB LOKOMART SENEN/F [KLOS]
KE90,JL RS ANCOL RAYA 99 [JRAR]
KE91,JL H 28 KEBON BARU [JHKB]
KE92,RAWA KEPA 39 [RK39]
KE93,BTN. TAMAN KJNG KOTA [BTKK]
KE94,BLORA MENTENG [BOME]
KE95,KEBON KACANG 30 [KK30]
KE96,KETAPANG UTARA 139 [KU13]
KE97,PECENONGAN 46 [PN46]
KE98,MENTENG PULO [MEPU]
KF01,JI EXPO [JIEP]
KF02,BTN.KIJANG KTA UJUNG [BKKU]
KF03,KS TUBUN 107 [KST7]
KF04,SYAHDAN RAYA/F [SHYA]
KF05,WTC KUNINGAN [WCKN]
KF07,MANDALA 37 [MA37]
KF08,GREEN GARDEN A13 [GA13]
KF09,KRENDANG UTARA II [KNTA]
KF10,BALIKPAPAN 11 [BLPN]
KF11,DURI MAS RAYA [DMAY]
KF12,X SALEMBA [XSLM]
KF13,RAJAWALI SELATAN 9 [RJSN]
KF14,BTN. NUSANTARA KIJANG [BNKG]
KF15,KS TUBUN 88A [KSUA]
KF16,GUDANG PELURU 10 [GAPL]
KF20,MANGGA BESAR IX-105 [MBS9]
KF21,KWITANG 9 [KWAN]
KF22,BUNGUR 31 [BNG3]
KF23,JL PANJANG NO 9 [JPAN]
KF24,ASEM BARIS NO.15 [ABRS]
KF26,DURI RAYA 108 [DRYA]
KF27,RADEN SALEH 39 [RDSH]
KF28,MENARA BRIPENS/F [MNBP]
KF29,ASEM BARIS 28 [ASBI]
KF30,HAYAM WURUK 65 [HYRK]
KF31,ANTARA 67 [ANTR]
KF33,KARET PEDURENAN 45 [KRUA]
KF34,KEBON JERUK RAYA 01A [KR01]
KF35,RUKO ROXIMAS [RKRA]
KF36,KSB RSPAD 1/F [KSRP]
KF37,KAWI 16 [KWIR]
KF38,MANGGA 01 [MNG1]
KF44,APT SAMARA [APSR]
KF45,PALMERAH UTARA 62FGH [PMTH]
KF46,MANGGA BESAR XI [MANS]
KF47,HARUN RAYA [HNRY]
KF48,MENARA CYBER [MCBR]
KF49,AL BARKAH NO 33 [ALBA]
KF50,TAMAN ISMAIL MARZUKI [TMIK]
KF51,TEBET TIMUR DALAM 61 [TIML]
KF52,JELAMBAR BARU 78 [JLBA]
KF53,CIDENG BARAT 74 [CNBA]
KF54,TANJUNG DUREN BARAT [TNDR]
KF55,JL KEBAHAGIAAN [KBHN]
KF56,JL PAHLAWAN [PHWN]
KF57,BUKIT DURI SELATAN 5 [BKDN]
KF58,JPM DUKUH ATAS [JPDS]
KF59,KEMANGGISAN ILIR /F [KMRY]
KF61,LATUMENTEN RAYA [LMTA]
KF62,KEBON KACANG XII [KNKG]
KF63,KRAMAT PULO 39 [KMPU ]
KF64,PALMERAH 76 [PM76]
KF65,DS KEMANGGISAN [DKNA]
KF66,RAWA BELONG 7 [RBG7]
KF67,GUNTUR RAYA 14 [GR14]
KF68,PANJANG CIDODOL RAYA [PCRY]
KF69,KALIBARU TIMUR VI [KBTM]
KF70,BENHIL 98 [BNL9]
KF71,DS KUNINGAN [DGNJ]
KF73,MANGGA BESAR V [MNBR]
KF74,APART 57 PROMENADE/F [APME]
KF75,CIDODOL KP. BARU [CDKB]
KF76,MANGGA DUA SQUARE [MADSE]
KF77,CIDENG TIMUR 67 [CDTM]
KF78,BIAK 35 [BIA3]
KF79,WAHID HASYIM 161 [WHAY]
KF80,TAMAN SARI 11 [TMNA]
KF82,TANJUNG GEDONG RAYA [TGNY]
KF84,DS PERMATA HIJAU [DPHA]
KF85,STA SUDIRMAN BARU [SDRB]
KF89,KEBAYORAN LAMA RAYA
L001,GAJAH MADA [GAMA]
L003,PROKLAMATOR [L_PLR]
L008,WOLTER MONGONSIDI [WODI]
L013,IKAN SEBELAH [ISEB]
L014,TEUKU UMAR - LPG [KUUM]
L016,HAYAM WURUK - LPG [AMUK]
L017,SAM RATULANGI - LPG [ANGI]
L018,KH HASYIM ASHARI LPG [KHAR]
L020,TIRTAYASA - LPG [TIYA]
L021,KI MAJA KDTN - LPG [JAON]
L023,SUKARSO LAMPUNG [L_SKRO]
L024,A. YANI METRO [L_AYMT]
L025,RAYA PUNGGUR [L_RYPR]
L026,AH. NASUTION [L_AHN]
L028,IMAM BONJOL [L_IMBL]
L033,YOS SUDARSO BUWA[YSOB]
L037,GANJAR AGUNG [L_GJA]
L039,A. YANI 2 LAMPUNG [L_AYI2]
L040,PATIMURA LAMPUNG [L_PTMR]
L041,SOEKARNO HATTA - LPG [L_SRHT]
L047,JL.RIYACHUDU - LPG [L_RHU]
L051,PEKALONGAN LPG [PKLN]
L052,RADEN INTAN LPG [RDIN]
L053,Sutan Syahrir lpg
L054,KOTA GAJAH LPG [KGJH]
L058,BATANGHARI LPG [BTHR]
L059,PUGUNG RAHARJO [PGRO]
L061,SEPUTIH RAHMAN [SPRN]
L065,WAY JEPARA [WJR]
L067,MARGOTOTO [MGTT]
L069,JATIMULYO [JTML]
L072,SIMPANG RANDU [SPRU]
L075,JL. JEMB. SERONG [JBSR]
L079,ADILUWIH TANGGAMUS [ALWH]
L082,KOTA GAJAH 2 [KGH2]
L085,RY SEPUTIH BANYAK [RSB]
L086,PSR TRIDATU [PSDT]
L094,RY. TEGINENENG [RTNG]
L095,BANDUNG BARU [BDBR]
L100,KOTA GAJAH 3/F [KGH3]
L106,PASAR SIDOREJO [PSSO]
L107,GUNUNG SUGIH [GNSH]
L112,MENGANDUNG SARI [MGSI]
L113,NEGERI KATON [NGKN]
L114,YUKUM JAYA [YMJY]
L119,YUKUM JAYA 2 [YJY2]
L122,TEUKU CIK DITIRO [TCDO]
L127,RE. MARTADINATA [RMTA]
L134,P. SENOPATI [PSPI]
L136,JL. CUT MUTIA [CTMA]
L141,METRO WATES [MWTS]
L144,RATU DIBALAU 2 [RTD2]
L145,RATU DIBALAU 3 [RTD3]
L178,RAYA WATES [RYWS]
L190,SIMPANG AGUNG [SPAG]
L191,YOS SUDARSO SKR[YSRO]
L192,DR HARUN [DHRN]
L233,PAGAR ALAM (PU) [PAPU]
L235,HENDRO SURATMIN/F [HSTN]
L252,GOTONG ROYONG [GTRG]
L276,SIMBAR WARINGIN/F [SBWG]
L282,A YANI PONCOWATI [AYPC]
L289,DR SUTOMO METRO [DRSM]
L291,DIPONEGORO METRO [DPGM]
L292,YOS SUDARSO METRO [YSRM]
L295,MERDEKA WAY JEPARA [MKWJ]
L335,A YANI 2 METRO [AY2M]
L369,PRAMUKA/F[PMKA]
L370,KAPT. ABD HAQ/F[KHAQ]
L386,WAY JEPARA 3 [WYJ3]
L388,SEKAMPUNG [SKPG]
L397,TEUKU CIK DITIRO 2[TCD2]
L398,PULAU SEBESI/F [PLSB]
L407,RIDWAN RAIS[RWRS]
L409,KEPAYANG PERMAI/F[KYGP]
L414,PANGLIMA POLIM 2 [PAP2]
L415,TEUKU UMAR KOGA [TUKA]
L421,PURNAWIRAWAN/F [PRWN]
L423,AGUS SALIM [AGSM]
L428,JEN-SUD BANDAR JAYA [JSBJ]
L431,HAYAM WURUK 2 [HYWR]
L439,GATOT SUBROTO [GTST]
L441,IKAN TENGGIRI [IKTG]
L443,IMAM BONJOL 4 [IMJ4]
L446,WOLTER MONGINSIDIMTR [WMTR]
L453,PERWIRA EMIR M NOER [PRW]
L454,RADEN INTAN BDL [RIB]
L455,RA BASYID BDL [RAB]
L456,P. ANTASARI 3 [PA3]
L460,GATOT SOEBROTO 2/F [GTT2]
L469,AHMAD YANI BDL [AHY1]
L472,PRAMUKA 2 [PAK2]
L473,PAKUAN AJI ( FRC )/F [PKA1]
L480,BATANG HARI 2 [BTH2]
L481,WAY JEPARA 5 [WJP5]
L486,FAJAR BARU [FJB1]
L487,PUJOKERTO FRC/F [PJKF]
L488,DIPONEGORO 2 [DPN2]
L493,SULTAN HAJI FRC/F [SHFC]
L495,YOS SUDARSO 3 [YSD3]
L500,SUKADANA LAMTIM [SKL1]
L504,RYACUDU KORPRI [RYK1]
L510,SUMBER REJO 2 [SMJ2]
L515,RA. KARTINI BDL [RAK1]
L522,BUKIT KENCANA BDL [BKN1]
L524,Gedong air bdl
L525,AH. NASUTION FRC/F [AHNF]
L528,PUTRI BALAU [PTBB]
L531,ZA. PAGAR ALAM [ZAPL]
L532,SULTAN AGUNG [SLAL]
L536,LETJEN SOEPRAPTO [LTS1]
L539,TEUKU CIK DITIRO 3 [TCD3]
L541,ZA. PAGAR ALAM 2 [ZPA2]
L543,IR. SUTAMI [IRS1]
L548,CITRA GARDEN 2 [CTG2]
L549,SOEKARNO HATTA 2 MTR [SH2M]
L553,ALAMSYAH RPN 2 MTR [AR2M]
L554,PAHLAWAN 2 [PHL2]
L559,JL. KESEHATAN FRC/F [JKST]
L561,UNTUNG SUROPATI BDL [USB1]
L562,PERINTIS BDL [PBL1]
L564,ALAMSYAH RPN METRO/F [AHRM]
L569,RADEN IMBA KUSUMA/F/F [RDIB]
L570,P. ANTASARI 4 [PAT4]
L573,BASUKI RAHMAT 2 [BRM2]
L576,TIRTAYASA 4 [TIR4]
L577,KAMBOJA BDL [KMBL]
L579,A. YANI 3 METRO FRC/F [A3MT]
L580,MH. YAMIN [MHYB]
L581,CUT NYAK DIEN 2 [CUT2]
L582,PRAMUKA 3 FRC/F [PRM3]
L583,HOS COKROAMINOTO [HCM]
L586,RIDWAN RAIS 2 [RDR2]
L588,LAKS. MALAHAYATI [LML1]
L590,RYACUDU KORPRI 2 [RCK2]
L595,SOEKARNO HATTA KM23 [SH23]
L596,RATU DIBALAU 5 [RDL5]
L597,PULAU DAMAR BDL [PDB1]
L600,PROF. S. BROJONEGORO/F [PSBF]
L602,RATU DIBALAU LAMPUNG/F [RUDU]
L603,URIP SUMOHARJO 4 [USM4]
L604,WR. SUPRATMAN [WRS]
L605,TANJUNG SENANG [TJS1]
L606,KETEGUHAN [KTH1]
L609,WARINGIN SARI [WRSI]
L611,CITRAMAS [CITL]
L619,RYACUDU SUKARAME/F [RYD1]
L621,KALIBALOK [KLBO]
L622,KORPRI JAYA/F [KRPJ]
L627,PULAU SEBESI 2/F [PUS2]
L628,WAY DADI FRC/F [WYDI]
L631,PANDAN SURAT [PDS1]
L635,PULAU BACAN [PUB1]
L636,AIRAN RAYA F/F [AIRF]
L637,WAN ABDURRAHMAN [WABD]
L638,LITTLE EUROPE [LTEO]
L639,SEGALA MIDER [SMDR]
L644,HENDRO SURATMIN 3 F/F [HSN3]
L646,TEUKUUMAR PENENGAHAN [TEUP]
L647,SAMRATULANGI 2 F/F [SAI2]
L648,TANJUNG KARANG PUSAT [TKPT]
L655,SRIWIJAYA ENGGAL [SRWE]
L660,KEDAMAIAN [KEDM]
L667,SUKARAME [SKAE]
L672,SUKOHARJO I [SKHO]
L691,PENGAJARAN [PNJR]
L693,GEDUNG MENENG [GDMN]
L697,BUMI RAYA [BMRY]
L698,GAJAH MADA 2 [GHM2]
L704,SUKABUMI [SUBM]
L709,SEGALA MIDER 2 [SEDE]
L713,RA BASYID 2 F/F [RABF]
L719,SUKARAME BARU F/F [SKBF]
L720,KSB BANGUN SARI/F [KSBB]
L728,KSB TRIMULYO/F [KS0M]
L732,MAYOR SALIM BATUBARA [MYSM]
L733,BUMI MANTI F/F [BMMF]
L735,LEMPASING F/F [LPSF]
L737,SUMUR BATU [SUBT]
L746,SOEKARNO-HATTA PUSKD [SHPD]
L747,BERINGIN JAYA [BRJY]
L749,RAYA HENDRO SURATMIN [RYHS]
L753,SUMUR PUTRI [SWRT]
L754,DIPONEGORO LPG [DPOL]
L755,DC TEMBESU [ALDT]
L759,TUPAI KEDATON F/F [TPKF]
L760,MS BATUBARA 2 F/F [MSBR]
L763,TIRTAYASA SUKABUMI [TRTY]
L764,SINGKEP SUKARAME F/F [SSKF]
L765,RAYA PU PAGAR ALAM [RPPA]
L768,PATIMURA BDL [PATL]
L769,GUNUNG TERANG F/F [GUNT]
L770,JENSUD BDL [JSDB]
L773,RAYA RATULANGI [RRLI]
L776,RAYA BACAN F/F [RYBF]
L780,CAMPANG RAYA [CAMP]
L783,JALAN ONTA F/F [JLOF]
L785,YOS SUDARSO BARU [YSSB]
P013,KANTEN LAUT/F[KTNL]
P019,RADIAL[RDIL]
P032,KOLONEL ATMO[LAMO]
P033,TANAH MAS
P035,SUKABANGUN 2-1
P036,ABUSAMAH-1
P038,ANWAR SASTRO[ARSO]
P039,ALI GATMIR[AGMR]
P041,GANDA SUBRATA
P042,PARAMESWARA
P045,SULAIMAN AMIN
P048,KOPRAL ANWAR[KAWR]
P051,DR M ISA[MISA]
P054,A DAHLAN TL KELAPA
P058,LETNAN MUROD 1[LMD1]
P059,SUKABANGUN 2-2
P062,RA ABUSAMAH 2
P063,RPN1[RNA1]
P065,JEND SUDIRMAN 2[JSN2]
P066,PERINDUSTRIAN 1[PRN1]
P072,PERUM TL KELAPA
P088,JL KAPTEN CEK SYEH[KCSH]
P089,KOL H BURLIAN KM 9[KHBN]
P093,PALEMBANG BETUNG
P095,SOSIAL-GANDUS[SSDS]
P099,LETNAN MUROD 2[LNM2]
P100,HBR MOTIK[HBRM]
P102,SEGARAN[SGRN]
P104,INSPEKTUR MARZUKI[IPMI]
P109,TRIKORA[TRIA]
P112,M. ISA 2[MIS2]
P114,PERINTIS KEMERDEKAAN[PSKN]
P115,PERINDUSTRIAN 2[PDU2]
P121,MAYOR SANTOSO[MRTO]
P122,LETDA A ROZAK[RZAK]
P124,RADIAL 2[RAL2]
P135,INSPEKTUR MARZUKI 2[IPM2]
P139,KEBUN BUNGA
P140,JENSUD 3-PLG[JEPG]
P145,KOL. BURLIAN KM. 6[BKM6]
P149,ANWAR SASTRO 2[ARO2]
P157,JENSUD IV-PALEMBANG[JNIV]
P185,LETTU KARIM KADIR [LKKR]
P188,H.R. NAJAMUDDIN [NAJA]
P204,RK. ALANG-ALANG LBR
P210,TJ. SIAPI-API
P211,KEBUN BUNGA 2
P232,PERINDUSTRIAN 1-2 [PRND]
P233,SUKABANGUN 2-4
P239,KS. TUBUN
P253,JENSUD V-PALEMBANG [JVPG]
P262,TALANG KELAPA 2
P270,IRIGASI [IRSI]
P282,JENSUD VI-PALEMBANG [JEVI]
P320,JENSUD VII-PALEMBANG [JEN7]
P324,KOL. H. BURLIAN KM.7
P325,KOL. H.BURLIAN KM.8
P383,TALANG JAMBE
P397,TANJUNG SIAPI-API 3
P399,SMB II-PALEMBANG[SMII]
P403,PERINTIS KEMRDKAAN 2 [PER2]
P408,VETERAN 1 [VAN1]
P412,TERMINAL ALANG2 LBR[TMAL]
P413,M. ISA 3 [MIS3]
P414,CITRA GRAND CITY
P454,RAYA ALANG-ALANG LBR
P461,RAYA PARAMESWARA
P465,PEMASYARAKATAN-PAKJO [PMRT]
P470,KOMPLEK PS [KLPS]
P472,ANWAR ARSYAD 2 [AWD2]
P474,RAWAJAYA [RWJY]
P489,BUKIT BARU [BKBR]
P492,SOAK SIMPUR
P495,SAKO BARU [SKBR]
P496,SAKO PERUMNAS [SKPM]
P497,TALANG KERAMAT/F [TLKR]
P500,BUKIT LAMA [BKLM]
P504,SUKAMAJU [SKMU]
P505,MANDI API [MDAP]
P510,POLIGON/F [PLGN]
P514,HBR MOTIK 2/F [HBRT]
P515,SPBU KM6
P529,PLG-BETUNG KM.13
P547,GRIYA DUTA MAS
P548,KOP. BINA PRAJA/F
P558,MAYOR ZURBY BUSTAM
P559,MACAN LINDUNGAN
P560,SPBU KM.12/F
P566,SPBU SOETTA/F[STTA]
P569,RPN-BUKIT LAMA [RBLM]
P576,BOOM BARU/F [BOBR]
P598,GASING
P659,LETKOL ISKANDAR RAYA [LIRY]
P663,JALAN PERINDUSTRIAN [JPDR]
P664,SIMPANG KADES[SPKS]
P666,WIJAYA KUSUMA [WJKM]
P668,TALANG JAMBE 2
P669,RAYA VETERAN [RYVT]
P681,RAYA ABUSAMAH
P682,SOEKARNO HATTA-PLG
P686,RAYA ANGKATAN 45 [AT45]
P691,MACAN LINDUNGAN 2
P692,SOPIAN GANDUS [SPGS]
P693,KARANGJAYA-GANDUS [KRJS]
P695,SUKAWINATAN
P697,SIMPANG TL. KELAPA
P698,SPBU POLIGON [POGN]
P699,LINGKARAN DEMPO [LKDP]
P706,SEI RAMBANG/F [SIRN]
P708,JENSUD-18 ILIR [JS18]
P709,SUKABANGUN-PLG
P715,LUBUK KAWAH
P717,SUKABANGUN 1
P719,KAMPUNG TL. KELAPA
P726,JENSUD-PALEMBANG [JEPA]
P727,JL.PANGERAN AYIN [PAYI]
P729,JL.JEPANG
P732,LEBUNG PERMAI
P733,DEMANG [DEMA]
P734,DWIKORA-PALEMBANG [WIKO]
P742,TANJUNG BARANGAN
P749,GOTONG ROYONG [GORO]
P752,KELAPA HIJAU
P757,KARYA BARU [ARRU]
P762,SAKO/F [SAKO]
P777,INSPEKTUR MARZUKI 3 [ZUKI]
P785,JL.PAPERA [AERA]
P792,KENTEN CITY/F [KTCT]
P821,MASKAREBET
P822,JL. ALANG-ALANG LEBAR
P826,JL.SMB TALANG JAMBE
P860,JL DEMANG LEBAR DAUN
P863,KOL.DANI EFFENDI
P865,KOL.SAI HUSIN
P866,KEBUN BUNGA 3
P874,SULAIMAN AMIN 2
P886,BURLIAN KM. 10[LIAN10]
P908,PERJUANGAN
P916,PAKJO UJUNG
P918,TANJUNG API-API 4
P919,MACAN KUMBANG RAYA
P920,DEMANG LEBAR DAUN 3
P929,TJ. BARANGAN INDAH
P935,TANJUNG BARANGAN 2
P956,CITRA GRAND CITY 2
P964,LETKOL ADRIANSZ [ANSZ]
P966,SOPIAN GANDUS 2 [PIAN2]
P981,TANJUNG BARANGAN 3
P982,TALANG KEPUH
P983,KEBUN BUNGA 4 [KNB4]
P987,MACAN LINDUNGAN 3
P988,PALM HILL
P990,BUMI MAS
PA02,SUKABANGUN JAYA/F [SKBJY]
PA19,GANDA SUBRATA 2/F [GDS2]
T800,PORIS INDAH 4 [PSI4]
T801,AMPERA PORIS 2 [AMP2]
T812,SIMPRUG DE PORIS [SDPO]
T885,AHMAD DAHLAN [ADHN]
TA82,IRIGASI SIPON 2/F [IRON]
TA95,PORIS GAGA INDAH [PGIH]
TB29,IRIGASI KP GUNUNG [IRKG]
TB68,SOLEH ALI 3 [SLIH]
TC03,STA TANGERANG 1 [TGRG]
TC05,STA PORIS [SPRI]
TC22,GRAND PORIS [GRPS]
TC31,PERMATA MULIA [PEMI]
TC34,MEDITERANIA JASMIN 3 [MEJA]
TC44,HASYIM ASHARI 6 [HSM6]
TC55,IRIGASI TUGU KARYA [IRTK]
TC82,UNIV BUNDA MULIA [UNBU]
TC89,PASAR LAMA [PSLA]
TC90,BENTENG BETAWI [BGBW]
TC91,CLUSTER ALLERA [CRLA]
TD23,PERINTISKEMERDEKAAN2 [PTKM]
TD33,PREMIER PARK [PREP]
TD50,WIJAYA KUSUMA [WJKS]
TD61,ALAM INDAH [AMIH]
TD80,BANJAR WIJAYA 2/F [BJR2]
TD91,TREEPARK CITY 2/F [TPK2]
TE14,REST AREA 13.5 [RA13]
TE33,APT AYODHYA [AYOD]
TE61,PLN RAYA [PALR]
TF04,VETERAN RAYA 2 [VNRY]
TF12,CIPONDOH 5 [CPD5]
TF44,CIPONDOH 3 [CPD3]
TG02,MAULANA HASANUDIN 4 [MHS4]
TG18,REST AREA KM 13.5 B [R13B]
TG54,RUKO AZORES [RKAZ]
TG78,MODERLAND BOULEVARD [MDBD]
TG99,EXIT TOL PINANG [EIPG]
TH02,SKANDINAVIA TANGCITY [SATC]
TH37,HASYIM CIPONDOH 2 [HCP2]
TH42,SLTN AGENGTIRTAYASA2 [SLT2]
TH82,ARTERI TANAH TINGGI/F [ATNT]
TH98,RUKO COSTARICA [RKCT]
TI22,A. YANI TANGERANG/F [ANIT]
TI32,RUKO PERMATA NIAGA [RPTN]
