kodetoko,namatoko
1Y7E,DAHLIA GPI/F [DAPI]
1Y7G,WANGURER ERPAK/F [WAER]
1Y7H,LENGKONG BITUNG/F [LEBI]
1Y7M,A.A MARAMIS MAPANGET [AMAM]
1Y7N,IR SOEKARNO ARMDIDI [ISAR]
1Y7O,RAYA IR. SOEKARNO [RISO]
1Y7P,IR. SOEKARNO 138 [IRKN]
1Y7R,KOLONGAN TALAWAAN/F [KOTN]
1Y7U,BAILANG MANADO/F [BMDO]
1Y80,KAUDITAN MINUT [KAMI]
1Y84,KANAAN MANADO [KANA]
1Y85,BUHA MANADO [BUDO]
1Y87,KAIRAGI 1 MANADO [K1MA]
1Y8C,*TUMINTING MANADO [TUDO]
1Y8D,SAWANGAN AIRMADIDI [SAIR]
1Y8E,IR. SOEKARNO KALAWAT [IRAT]
1Y8F,LAIKIT MINUT [LAMI]
1Y8G,TITIWUNGEN UTARA [TIEN]
1Y8L,BENGAWAN SOLO MANADO [BEWA]
1Y91,BOULEVARD SARIO MDO [BSMO]
1Y92,YOS SUDARSO MANADO [YOSU]
1Y94,DENDENGAN LUAR MDO [DENA]
1Y95,PAAL 2 MANADO [PAL2]
1Y96,GRIYA PANIKI INDAH M [GPIM]
1Y99,WONASA MANADO [WOMA]
1Y9L,PERUM KAWARU [PRKW]
1Y9N,BNDRSAMRATULANGI MDO [BSDO]
1Y9P,PINELENG DUA MNHSA [PIDU]
1Y9R,WINANGUN DUA MANADO [WNGN]
1Y9S,DIMEMBE [DMBE]
1Y9U,MARTADINATA PAAL DUA [MAAL]
1Y9V,PANIKI BAWAH [PAAH]
1Y9W,TINGKULU MANADO [TIMA]
1Y9X,CENDRAWASIH MANADO [CEMA]
1YA2,WINANGUN ATAS MNHS [WISA]
1YA4,KAROMBASAN UTARA MDO [KARO]
1YA6,AIRMADIDI RAYA MINUT [AIRR]
1YA7,KOLONGAN ASABRI MNT [KOAS]
1YAA,BOULEVARD DUA [BODU]
1YAD,AKASIA GPI [AKPI]
1YAG,PULAU SULAWESI/F [PSEI]
1YAI,CALACA [CACA]
1YAO,SARONGSONG SATU ARMD [SROA]
1YAP,KALAWAT MINUT [KAUT]
1YAR,KRIDA MANADO [KRDO]
1YAS,ZERO POINT AIRMADIDI [ZPAI]
1YAY,BENGKOL MANADO
1YB1,TIKALA MANADO [TIKA]
1YB4,MADIDIR BITUNG [MBTG]
1YB5,GIRIAN INDAH BITUNG [GIIN]
1YB8,ARIE LASUT MANADO [ALMA]
1YBA,SADANG SUMOMPO
1YBC,TERNATE BARU
1YBE,LAWANGIRUNG MANADO
1YBF,KAWILEY KAUDITAN
1YBH,KALAWAT RAYA
1YBK,RINGROAD MAUMBI
1YC3,PERKAMIL MANADO [PERK]
1YC4,SAMRAT RANOTANA MDO [SRMO]
1YC6,MALALAYANG TERM. MDO [MTMA]
1YD1,SANTIAGO MANADO [SNMA]
1YD4,RS. PANCARAN KASIH [RSPH]
1YD6,MANGUNI RAYA MANADO [MAMA]
