kodetoko,namatoko
1Y9W,TINGKULU MANADO [TIMA]
1Y9X,CENDRAWASIH MANADO [CEMA]
1YA2,WINANGUN ATAS MNHS [WISA]
1YA4,KAROMBASAN UTARA MDO [KARO]
1YA6,AIRMADIDI RAYA MINUT [AIRR]
1YA7,KOLONGAN ASABRI MNT [KOAS]
1YAA,BOULEVARD DUA [BODU]
1YAD,AKASIA GPI [AKPI]
1YAG,PULAU SULAWESI/F [PSEI]
1YAI,CALACA [CACA]
1YAO,SARONGSONG SATU ARMD [SROA]
1YAP,KALAWAT MINUT [KAUT]
1YAR,KRIDA MANADO [KRDO]
1YAS,ZERO POINT AIRMADIDI [ZPAI]
1YAY,BENGKOL MANADO
1YB1,TIKALA MANADO [TIKA]
1YB4,MADIDIR BITUNG [MBTG]
1YB5,GIRIAN INDAH BITUNG [GIIN]
1YB8,ARIE LASUT MANADO [ALMA]
1YBA,SADANG SUMOMPO
1YBC,TERNATE BARU
1YBE,LAWANGIRUNG MANADO
1YBF,KAWILEY KAUDITAN
1YBH,KALAWAT RAYA
1YBK,RINGROAD MAUMBI
1YBL,SEA MALALAYANG [SELY]
1YBM,KALASEY SATU [KYST]
1YBN,TANJUNG BATU [TATU]
1YBQ,RING ROAD TIKALA [RIRO]
1YBR,SINGKIL SATU MANADO [SSDO]
1YBS,KAWASAN MEGAMAS 2A2 [K2A2]
1YBU,KAIRAGI MANADO [KADO]
1YBV,PINELENG RAYA [PLGR]
1YBW,PUMOROW MANADO [PUOW]
1YBY,MANIBANG MANADO [MADO]
1YC3,PERKAMIL MANADO [PERK]
1YC4,SAMRAT RANOTANA MDO [SRMO]
1YC6,MALALAYANG TERM. MDO [MTMA]
1YD1,SANTIAGO MANADO [SNMA]
1YD4,RS. PANCARAN KASIH [RSPH]
1YD6,MANGUNI RAYA MANADO [MAMA]
1YD7,SUKUR MINUT [SKMT]
1YD9,WINANGUN MANADO [WIMA]
1YF5,KAREGESAN MINUT [KEMI]
1YF6,KAUDITAN KEMA MINUT [KAKE]
1YI1,WATUDAMBO MINUT [WAUT]
1YI3,MANADO-TOMOHON KM. 7 [MAKM]
1YI9,MAPANGET MINUT [MTMT]
1YS2,KLEAK MANADO [KLEM]
1YS5,PANDU MANADO [PUDO]
1YS6,SEA MANADO [SEAM]
1YS8,DC KAREGESAN [DCAN]
1YV9,SAGERAT TUMUNDO [SATU]
1YW1,MANEMBONEMBO MATUARI[MBOM]
1YW3,POLITEKNIK BUHA [POHA]
1YX1,MEGAMAS BOULEVARD [MEGS]
1YX6,ZERO POINT MINUT [ZEPO]
1YX9,BAHU MANADO [BAHM]
EI10,ALFAMART NOTRHLAND [NTLA]
