kodetoko,namatoko
KF04,ALFAMART SYAHDAN RAYA/F [SHYA]
KF07,ALFAMART MANDALA 37 [MA37]
KF08,ALFAMART GREEN GARDEN A13 [GA13]
KF09,ALFAMART KRENDANG UTARA II [KNTA]
KF11,ALFAMART DURI MAS RAYA [DMAY]
KF13,ALFAMART RAJAWALI SELATAN 9 [RJSN]
KF15,ALFAMART KS TUBUN 88A [KSUA]
KF16,ALFAMART GUDANG PELURU 10 [GAPL]
KF20,ALFAMART MANGGA BESAR IX-105 [MBS9]
KF22,ALFAMART BUNGUR 31 [BNG3]
KF23,ALFAMART PANJANG RAYA 9
KF24,ALFAMART ASEM BARIS NO.15 [ABRS]
KF26,ALFAMART DURI RAYA 108 [DRYA]
KF27,ALFAMART RADEN SALEH 39 [RDSH]
KF29,ALFAMART ASEM BARIS 28 [ASBI]
KF30,ALFAMART HAYAM WURUK 65 [HYRK]
KF31,ALFAMART ANTARA 67 [ANTR]
KF33,ALFAMART PEDURENAN 45
KF34,ALFAMART KEBON JERUK RAYA 01A [KR01]
KF38,ALFAMART MANGGA 01 [MNG1]
KF46,ALFAMART MANGGA BESAR XI
KF47,ALFAMART HARUN RAYA [HNRY]
KF48,ALFAMART MENARA CYBER [MCBR]
KF49,ALFAMART AL BARKAH NO 33 [ALBA]
KF51,ALFAMART TEBET TIMUR DALAM 61 [TIML]
KF53,ALFAMART CIDENG BARAT 74 [CNBA]
KF54,ALFAMART TANJUNG DUREN BARAT [TNDR]
KF55,ALFAMART JL KEBAHAGIAAN [KBHN]
KF57,ALFAMART BUKIT DURI SELATAN 5
KF61,ALFAMART LATUMENTEN RAYA [LMTA]
KF63,ALFAMART KRAMAT PULO 39 [KMPU ]
KF66,ALFAMART RAWA BELONG 7 [RBG7]
KF69,ALFAMART KALIBARU TIMUR VI [KBTM]
KF75,ALFAMART CIDODOL KP. BARU [CDKB]
KF77,ALFAMART CIDENG TIMUR 67 [CDTM]
KF78,ALFAMART BIAK 35 [BIA3]
KF79,ALFAMART WAHID HASYIM 161 [WHAY]
KF97,ALFAMART TANJUNG DUREN 17
TC34,ALFAMART MEDITERANIA JASMIN 3 [MEJA]
